Team,GP,points,c,year
Mercedes,German ,6.0,#00A19C,2010
Sauber,German ,0.0,#9B0000,2010
Williams,German ,0.0,#005AFF,2010
Toro Rosso,German ,0.0,#469BFF,2010
Force India,German ,0.0,#F596C8,2010
Virgin,German ,0.0,white,2010
HRT,German ,0.0,white,2010
Lotus,German ,0.0,#FFB800,2010
Red Bull,Hungarian ,40.0,#121F45,2010
Ferrari,Hungarian ,30.0,#A6051A,2010
Renault,Hungarian ,10.0,#FFF500,2010
Williams,Hungarian ,9.0,#005AFF,2010
Sauber,Hungarian ,8.0,#9B0000,2010
McLaren,Hungarian ,4.0,#FF8000,2010
Mercedes,Hungarian ,0.0,#00A19C,2010
Toro Rosso,Hungarian ,0.0,#469BFF,2010
Force India,Hungarian ,0.0,#F596C8,2010
Lotus,Hungarian ,0.0,#FFB800,2010
Virgin,Hungarian ,0.0,white,2010
HRT,Hungarian ,0.0,white,2010
McLaren,Belgian ,25.0,#FF8000,2010
Red Bull,Belgian ,18.0,#121F45,2010
Renault,Belgian ,17.0,#FFF500,2010
Ferrari,Belgian ,12.0,#A6051A,2010
Force India,Belgian ,11.0,#F596C8,2010
Mercedes,Belgian ,14.0,#00A19C,2010
Sauber,Belgian ,4.0,#9B0000,2010
Toro Rosso,Belgian ,0.0,#469BFF,2010
Williams,Belgian ,0.0,#005AFF,2010
Lotus,Belgian ,0.0,#FFB800,2010
Virgin,Belgian ,0.0,white,2010
HRT,Belgian ,0.0,white,2010
Ferrari,Italian ,40.0,#A6051A,2010
McLaren,Italian ,18.0,#FF8000,2010
Red Bull,Italian ,20.0,#121F45,2010
Mercedes,Italian ,12.0,#00A19C,2010
Williams,Italian ,7.0,#005AFF,2010
Renault,Italian ,4.0,#FFF500,2010
Toro Rosso,Italian ,0.0,#469BFF,2010
Force India,Italian ,0.0,#F596C8,2010
Sauber,Italian ,0.0,#9B0000,2010
Virgin,Italian ,0.0,white,2010
Lotus,Italian ,0.0,#FFB800,2010
HRT,Italian ,0.0,white,2010
Ferrari,Singapore ,29.0,#A6051A,2010
Red Bull,Singapore ,33.0,#121F45,2010
McLaren,Singapore ,12.0,#FF8000,2010
Mercedes,Singapore ,10.0,#00A19C,2010
Williams,Singapore ,9.0,#005AFF,2010
Renault,Singapore ,6.0,#FFF500,2010
Force India,Singapore ,2.0,#F596C8,2010
Toro Rosso,Singapore ,0.0,#469BFF,2010
Virgin,Singapore ,0.0,white,2010
Lotus,Singapore ,0.0,#FFB800,2010
Sauber,Singapore ,0.0,#9B0000,2010
HRT,Singapore ,0.0,white,2010
Red Bull,Japanese ,43.0,#121F45,2010
Ferrari,Japanese ,15.0,#A6051A,2010
McLaren,Japanese ,22.0,#FF8000,2010
Mercedes,Japanese ,8.0,#00A19C,2010
Sauber,Japanese ,10.0,#9B0000,2010
Williams,Japanese ,2.0,#005AFF,2010
Toro Rosso,Japanese ,1.0,#469BFF,2010
Lotus,Japanese ,0.0,#FFB800,2010
Virgin,Japanese ,0.0,white,2010
HRT,Japanese ,0.0,white,2010
Force India,Japanese ,0.0,#F596C8,2010
Renault,Japanese ,0.0,#FFF500,2010
Ferrari,Korean ,40.0,#A6051A,2010
McLaren,Korean ,18.0,#FF8000,2010
Mercedes,Korean ,12.0,#00A19C,2010
Renault,Korean ,10.0,#FFF500,2010
Force India,Korean ,8.0,#F596C8,2010
Williams,Korean ,7.0,#005AFF,2010
Sauber,Korean ,6.0,#9B0000,2010
Toro Rosso,Korean ,0.0,#469BFF,2010
Lotus,Korean ,0.0,#FFB800,2010
HRT,Korean ,0.0,white,2010
Red Bull,Korean ,0.0,#121F45,2010
Virgin,Korean ,0.0,white,2010
Red Bull,Brazilian ,43.0,#121F45,2010
Ferrari,Brazilian ,15.0,#A6051A,2010
McLaren,Brazilian ,22.0,#FF8000,2010
Mercedes,Brazilian ,14.0,#00A19C,2010
Williams,Brazilian ,4.0,#005AFF,2010
Renault,Brazilian ,2.0,#FFF500,2010
Sauber,Brazilian ,1.0,#9B0000,2010
Toro Rosso,Brazilian ,0.0,#469BFF,2010
Force India,Brazilian ,0.0,#F596C8,2010
Lotus,Brazilian ,0.0,#FFB800,2010
Virgin,Brazilian ,0.0,white,2010
HRT,Brazilian ,0.0,white,2010
Red Bull,Abu Dhabi ,29.0,#121F45,2010
McLaren,Abu Dhabi ,33.0,#FF8000,2010
Mercedes,Abu Dhabi ,12.0,#00A19C,2010
Renault,Abu Dhabi ,18.0,#FFF500,2010
Ferrari,Abu Dhabi ,7.0,#A6051A,2010
Toro Rosso,Abu Dhabi ,2.0,#469BFF,2010
Sauber,Abu Dhabi ,0.0,#9B0000,2010
Williams,Abu Dhabi ,0.0,#005AFF,2010
Force India,Abu Dhabi ,0.0,#F596C8,2010
Lotus,Abu Dhabi ,0.0,#FFB800,2010
Virgin,Abu Dhabi ,0.0,white,2010
HRT,Abu Dhabi ,0.0,white,2010
