Team,GP,points,c,year
Mercedes,Australian ,44.0,#00A19C,2019
Red Bull,Australian ,15.0,#121F45,2019
Ferrari,Australian ,22.0,#A6051A,2019
Haas F1 Team,Australian ,8.0,#F9F2F2,2019
Renault,Australian ,6.0,#FFF500,2019
Alfa Romeo,Australian ,4.0,#981E32,2019
Racing Point,Australian ,2.0,#F596C8,2019
Toro Rosso,Australian ,1.0,#469BFF,2019
McLaren,Australian ,0.0,#FF8000,2019
Williams,Australian ,0.0,#005AFF,2019
Mercedes,Bahrain ,43.0,#00A19C,2019
Ferrari,Bahrain ,26.0,#A6051A,2019
Red Bull,Bahrain ,16.0,#121F45,2019
McLaren,Bahrain ,8.0,#FF8000,2019
Alfa Romeo,Bahrain ,6.0,#981E32,2019
Racing Point,Bahrain ,1.0,#F596C8,2019
Haas F1 Team,Bahrain ,0.0,#F9F2F2,2019
Williams,Bahrain ,0.0,#005AFF,2019
Renault,Bahrain ,0.0,#FFF500,2019
Toro Rosso,Bahrain ,2.0,#469BFF,2019
Mercedes,Chinese ,43.0,#00A19C,2019
Ferrari,Chinese ,25.0,#A6051A,2019
Red Bull,Chinese ,21.0,#121F45,2019
Renault,Chinese ,6.0,#FFF500,2019
Racing Point,Chinese ,4.0,#F596C8,2019
Alfa Romeo,Chinese ,2.0,#981E32,2019
Toro Rosso,Chinese ,1.0,#469BFF,2019
Haas F1 Team,Chinese ,0.0,#F9F2F2,2019
McLaren,Chinese ,0.0,#FF8000,2019
Williams,Chinese ,0.0,#005AFF,2019
Mercedes,Azerbaijan ,43.0,#00A19C,2019
Ferrari,Azerbaijan ,26.0,#A6051A,2019
Red Bull,Azerbaijan ,12.0,#121F45,2019
Racing Point,Azerbaijan ,10.0,#F596C8,2019
McLaren,Azerbaijan ,10.0,#FF8000,2019
Alfa Romeo,Azerbaijan ,1.0,#981E32,2019
Toro Rosso,Azerbaijan ,0.0,#469BFF,2019
Haas F1 Team,Azerbaijan ,0.0,#F9F2F2,2019
Renault,Azerbaijan ,0.0,#FFF500,2019
Williams,Azerbaijan ,0.0,#005AFF,2019
