Team,GP,points,c,year
Williams,German ,2.0,#005AFF,2016
Haas F1 Team,German ,0.0,#F9F2F2,2016
Toro Rosso,German ,0.0,#469BFF,2016
Renault,German ,0.0,#FFF500,2016
Manor Marussia,German ,0.0,white,2016
Sauber,German ,0.0,#9B0000,2016
Mercedes,Belgian ,40.0,#00A19C,2016
Red Bull,Belgian ,18.0,#121F45,2016
Force India,Belgian ,22.0,#F596C8,2016
Ferrari,Belgian ,10.0,#A6051A,2016
McLaren,Belgian ,6.0,#FF8000,2016
Williams,Belgian ,5.0,#005AFF,2016
Haas F1 Team,Belgian ,0.0,#F9F2F2,2016
Toro Rosso,Belgian ,0.0,#469BFF,2016
Renault,Belgian ,0.0,#FFF500,2016
Manor Marussia,Belgian ,0.0,white,2016
Sauber,Belgian ,0.0,#9B0000,2016
Mercedes,Italian ,43.0,#00A19C,2016
Ferrari,Italian ,27.0,#A6051A,2016
Red Bull,Italian ,16.0,#121F45,2016
Williams,Italian ,10.0,#005AFF,2016
Force India,Italian ,5.0,#F596C8,2016
Haas F1 Team,Italian ,0.0,#F9F2F2,2016
McLaren,Italian ,0.0,#FF8000,2016
Toro Rosso,Italian ,0.0,#469BFF,2016
Sauber,Italian ,0.0,#9B0000,2016
Renault,Italian ,0.0,#FFF500,2016
Manor Marussia,Italian ,0.0,white,2016
Mercedes,Singapore ,40.0,#00A19C,2016
Red Bull,Singapore ,26.0,#121F45,2016
Ferrari,Singapore ,22.0,#A6051A,2016
McLaren,Singapore ,6.0,#FF8000,2016
Force India,Singapore ,4.0,#F596C8,2016
Toro Rosso,Singapore ,2.0,#469BFF,2016
Renault,Singapore ,1.0,#FFF500,2016
Haas F1 Team,Singapore ,0.0,#F9F2F2,2016
Williams,Singapore ,0.0,#005AFF,2016
Sauber,Singapore ,0.0,#9B0000,2016
Manor Marussia,Singapore ,0.0,white,2016
Red Bull,Malaysian ,43.0,#121F45,2016
Mercedes,Malaysian ,15.0,#00A19C,2016
Ferrari,Malaysian ,12.0,#A6051A,2016
Williams,Malaysian ,10.0,#005AFF,2016
Force India,Malaysian ,12.0,#F596C8,2016
McLaren,Malaysian ,8.0,#FF8000,2016
Renault,Malaysian ,1.0,#FFF500,2016
Toro Rosso,Malaysian ,0.0,#469BFF,2016
Sauber,Malaysian ,0.0,#9B0000,2016
Manor Marussia,Malaysian ,0.0,white,2016
Haas F1 Team,Malaysian ,0.0,#F9F2F2,2016
Mercedes,Japanese ,40.0,#00A19C,2016
Red Bull,Japanese ,26.0,#121F45,2016
Ferrari,Japanese ,22.0,#A6051A,2016
Force India,Japanese ,10.0,#F596C8,2016
Williams,Japanese ,3.0,#005AFF,2016
Haas F1 Team,Japanese ,0.0,#F9F2F2,2016
Renault,Japanese ,0.0,#FFF500,2016
Toro Rosso,Japanese ,0.0,#469BFF,2016
Sauber,Japanese ,0.0,#9B0000,2016
McLaren,Japanese ,0.0,#FF8000,2016
Manor Marussia,Japanese ,0.0,white,2016
Mercedes,United States ,43.0,#00A19C,2016
Red Bull,United States ,15.0,#121F45,2016
Ferrari,United States ,12.0,#A6051A,2016
McLaren,United States ,12.0,#FF8000,2016
Toro Rosso,United States ,8.0,#469BFF,2016
Williams,United States ,6.0,#005AFF,2016
Force India,United States ,4.0,#F596C8,2016
Haas F1 Team,United States ,1.0,#F9F2F2,2016
Renault,United States ,0.0,#FFF500,2016
Sauber,United States ,0.0,#9B0000,2016
Manor Marussia,United States ,0.0,white,2016
Mercedes,Mexican ,43.0,#00A19C,2016
Ferrari,Mexican ,18.0,#A6051A,2016
Red Bull,Mexican ,27.0,#121F45,2016
Force India,Mexican ,7.0,#F596C8,2016
Williams,Mexican ,6.0,#005AFF,2016
Sauber,Mexican ,0.0,#9B0000,2016
McLaren,Mexican ,0.0,#FF8000,2016
Renault,Mexican ,0.0,#FFF500,2016
Toro Rosso,Mexican ,0.0,#469BFF,2016
Haas F1 Team,Mexican ,0.0,#F9F2F2,2016
Manor Marussia,Mexican ,0.0,white,2016
Mercedes,Brazilian ,43.0,#00A19C,2016
Red Bull,Brazilian ,19.0,#121F45,2016
Force India,Brazilian ,18.0,#F596C8,2016
Ferrari,Brazilian ,10.0,#A6051A,2016
Toro Rosso,Brazilian ,8.0,#469BFF,2016
Sauber,Brazilian ,2.0,#9B0000,2016
McLaren,Brazilian ,1.0,#FF8000,2016
Williams,Brazilian ,0.0,#005AFF,2016
Manor Marussia,Brazilian ,0.0,white,2016
Renault,Brazilian ,0.0,#FFF500,2016
Haas F1 Team,Brazilian ,0.0,#F9F2F2,2016
Mercedes,Abu Dhabi ,43.0,#00A19C,2016
Ferrari,Abu Dhabi ,23.0,#A6051A,2016
Red Bull,Abu Dhabi ,22.0,#121F45,2016
Force India,Abu Dhabi ,10.0,#F596C8,2016
Williams,Abu Dhabi ,2.0,#005AFF,2016
McLaren,Abu Dhabi ,1.0,#FF8000,2016
Haas F1 Team,Abu Dhabi ,0.0,#F9F2F2,2016
Manor Marussia,Abu Dhabi ,0.0,white,2016
Sauber,Abu Dhabi ,0.0,#9B0000,2016
Renault,Abu Dhabi ,0.0,#FFF500,2016
Toro Rosso,Abu Dhabi ,0.0,#469BFF,2016
