Team,GP,points,c,year
Red Bull,Australian ,35.0,#121F45,2011
McLaren,Australian ,26.0,#FF8000,2011
Renault,Australian ,15.0,#FFF500,2011
Ferrari,Australian ,18.0,#A6051A,2011
Sauber,Australian ,0.0,#9B0000,2011
Toro Rosso,Australian ,4.0,#469BFF,2011
Force India,Australian ,3.0,#F596C8,2011
Lotus,Australian ,0.0,#FFB800,2011
Virgin,Australian ,0.0,white,2011
Williams,Australian ,0.0,#005AFF,2011
Mercedes,Australian ,0.0,#00A19C,2011
Red Bull,Malaysian ,37.0,#121F45,2011
McLaren,Malaysian ,22.0,#FF8000,2011
Renault,Malaysian ,15.0,#FFF500,2011
Ferrari,Malaysian ,18.0,#A6051A,2011
Sauber,Malaysian ,6.0,#9B0000,2011
Mercedes,Malaysian ,2.0,#00A19C,2011
Force India,Malaysian ,1.0,#F596C8,2011
Toro Rosso,Malaysian ,0.0,#469BFF,2011
Lotus,Malaysian ,0.0,#FFB800,2011
Virgin,Malaysian ,0.0,white,2011
HRT,Malaysian ,0.0,white,2011
Williams,Malaysian ,0.0,#005AFF,2011
McLaren,Chinese ,37.0,#FF8000,2011
Red Bull,Chinese ,33.0,#121F45,2011
Mercedes,Chinese ,14.0,#00A19C,2011
Ferrari,Chinese ,14.0,#A6051A,2011
Renault,Chinese ,2.0,#FFF500,2011
Sauber,Chinese ,1.0,#9B0000,2011
Force India,Chinese ,0.0,#F596C8,2011
Williams,Chinese ,0.0,#005AFF,2011
Toro Rosso,Chinese ,0.0,#469BFF,2011
Lotus,Chinese ,0.0,#FFB800,2011
Virgin,Chinese ,0.0,white,2011
HRT,Chinese ,0.0,white,2011
Red Bull,Turkish ,43.0,#121F45,2011
Ferrari,Turkish ,15.0,#A6051A,2011
McLaren,Turkish ,20.0,#FF8000,2011
Mercedes,Turkish ,10.0,#00A19C,2011
Renault,Turkish ,10.0,#FFF500,2011
Toro Rosso,Turkish ,2.0,#469BFF,2011
Sauber,Turkish ,1.0,#9B0000,2011
Force India,Turkish ,0.0,#F596C8,2011
Williams,Turkish ,0.0,#005AFF,2011
Lotus,Turkish ,0.0,#FFB800,2011
Virgin,Turkish ,0.0,white,2011
HRT,Turkish ,0.0,white,2011
Red Bull,Spanish ,37.0,#121F45,2011
McLaren,Spanish ,33.0,#FF8000,2011
Ferrari,Spanish ,10.0,#A6051A,2011
Mercedes,Spanish ,14.0,#00A19C,2011
Renault,Spanish ,4.0,#FFF500,2011
Sauber,Spanish ,3.0,#9B0000,2011
Force India,Spanish ,0.0,#F596C8,2011
Toro Rosso,Spanish ,0.0,#469BFF,2011
Williams,Spanish ,0.0,#005AFF,2011
Lotus,Spanish ,0.0,#FFB800,2011
Virgin,Spanish ,0.0,white,2011
HRT,Spanish ,0.0,white,2011
Red Bull,Monaco ,37.0,#121F45,2011
Ferrari,Monaco ,18.0,#A6051A,2011
McLaren,Monaco ,23.0,#FF8000,2011
Sauber,Monaco ,10.0,#9B0000,2011
Force India,Monaco ,6.0,#F596C8,2011
Renault,Monaco ,4.0,#FFF500,2011
Williams,Monaco ,2.0,#005AFF,2011
Toro Rosso,Monaco ,1.0,#469BFF,2011
Mercedes,Monaco ,0.0,#00A19C,2011
Lotus,Monaco ,0.0,#FFB800,2011
Virgin,Monaco ,0.0,white,2011
HRT,Monaco ,0.0,white,2011
McLaren,Canadian ,25.0,#FF8000,2011
Red Bull,Canadian ,33.0,#121F45,2011
Mercedes,Canadian ,12.0,#00A19C,2011
Renault,Canadian ,10.0,#FFF500,2011
Ferrari,Canadian ,8.0,#A6051A,2011
Sauber,Canadian ,6.0,#9B0000,2011
Toro Rosso,Canadian ,5.0,#469BFF,2011
Williams,Canadian ,2.0,#005AFF,2011
HRT,Canadian ,0.0,white,2011
Virgin,Canadian ,0.0,white,2011
Lotus,Canadian ,0.0,#FFB800,2011
Force India,Canadian ,0.0,#F596C8,2011
Red Bull,European ,40.0,#121F45,2011
Ferrari,European ,28.0,#A6051A,2011
McLaren,European ,20.0,#FF8000,2011
Mercedes,European ,6.0,#00A19C,2011
Toro Rosso,European ,4.0,#469BFF,2011
Force India,European ,2.0,#F596C8,2011
Renault,European ,1.0,#FFF500,2011
Sauber,European ,0.0,#9B0000,2011
Williams,European ,0.0,#005AFF,2011
Lotus,European ,0.0,#FFB800,2011
Virgin,European ,0.0,white,2011
HRT,European ,0.0,white,2011
Ferrari,British ,35.0,#A6051A,2011
Red Bull,British ,33.0,#121F45,2011
McLaren,British ,12.0,#FF8000,2011
Mercedes,British ,10.0,#00A19C,2011
Sauber,British ,6.0,#9B0000,2011
Renault,British ,4.0,#FFF500,2011
Toro Rosso,British ,1.0,#469BFF,2011
Force India,British ,0.0,#F596C8,2011
Williams,British ,0.0,#005AFF,2011
Virgin,British ,0.0,white,2011
HRT,British ,0.0,white,2011
Lotus,British ,0.0,#FFB800,2011
McLaren,German ,25.0,#FF8000,2011
Ferrari,German ,28.0,#A6051A,2011
Red Bull,German ,27.0,#121F45,2011
Force India,German ,8.0,#F596C8,2011
Mercedes,German ,10.0,#00A19C,2011
Sauber,German ,2.0,#9B0000,2011
Renault,German ,1.0,#FFF500,2011
Toro Rosso,German ,0.0,#469BFF,2011
Williams,German ,0.0,#005AFF,2011
Lotus,German ,0.0,#FFB800,2011
Virgin,German ,0.0,white,2011
HRT,German ,0.0,white,2011
McLaren,Hungarian ,37.0,#FF8000,2011
Red Bull,Hungarian ,28.0,#121F45,2011
Ferrari,Hungarian ,23.0,#A6051A,2011
Force India,Hungarian ,6.0,#F596C8,2011
Toro Rosso,Hungarian ,5.0,#469BFF,2011
Mercedes,Hungarian ,2.0,#00A19C,2011
Sauber,Hungarian ,0.0,#9B0000,2011
Renault,Hungarian ,0.0,#FFF500,2011
Williams,Hungarian ,0.0,#005AFF,2011
Virgin,Hungarian ,0.0,white,2011
HRT,Hungarian ,0.0,white,2011
Lotus,Hungarian ,0.0,#FFB800,2011
Red Bull,Belgian ,43.0,#121F45,2011
McLaren,Belgian ,15.0,#FF8000,2011
Ferrari,Belgian ,16.0,#A6051A,2011
Mercedes,Belgian ,18.0,#00A19C,2011
Force India,Belgian ,6.0,#F596C8,2011
Renault,Belgian ,2.0,#FFF500,2011
Williams,Belgian ,1.0,#005AFF,2011
Sauber,Belgian ,0.0,#9B0000,2011
Lotus,Belgian ,0.0,#FFB800,2011
Virgin,Belgian ,0.0,white,2011
HRT,Belgian ,0.0,white,2011
Toro Rosso,Belgian ,0.0,#469BFF,2011
Red Bull,Italian ,25.0,#121F45,2011
McLaren,Italian ,30.0,#FF8000,2011
Ferrari,Italian ,23.0,#A6051A,2011
Mercedes,Italian ,10.0,#00A19C,2011
Toro Rosso,Italian ,7.0,#469BFF,2011
Force India,Italian ,4.0,#F596C8,2011
Renault,Italian ,2.0,#FFF500,2011
Williams,Italian ,0.0,#005AFF,2011
Lotus,Italian ,0.0,#FFB800,2011
Virgin,Italian ,0.0,white,2011
HRT,Italian ,0.0,white,2011
Sauber,Italian ,0.0,#9B0000,2011
Red Bull,Singapore ,40.0,#121F45,2011
McLaren,Singapore ,28.0,#FF8000,2011
Ferrari,Singapore ,14.0,#A6051A,2011
