Team,GP,points,c,year
Force India,Singapore ,12.0,#F596C8,2011
Mercedes,Singapore ,6.0,#00A19C,2011
Sauber,Singapore ,1.0,#9B0000,2011
Williams,Singapore ,0.0,#005AFF,2011
Toro Rosso,Singapore ,0.0,#469BFF,2011
Renault,Singapore ,0.0,#FFF500,2011
Lotus,Singapore ,0.0,#FFB800,2011
Virgin,Singapore ,0.0,white,2011
HRT,Singapore ,0.0,white,2011
McLaren,Japanese ,35.0,#FF8000,2011
Ferrari,Japanese ,24.0,#A6051A,2011
Red Bull,Japanese ,27.0,#121F45,2011
Mercedes,Japanese ,9.0,#00A19C,2011
Sauber,Japanese ,4.0,#9B0000,2011
Renault,Japanese ,2.0,#FFF500,2011
Force India,Japanese ,0.0,#F596C8,2011
Williams,Japanese ,0.0,#005AFF,2011
Toro Rosso,Japanese ,0.0,#469BFF,2011
Lotus,Japanese ,0.0,#FFB800,2011
Virgin,Japanese ,0.0,white,2011
HRT,Japanese ,0.0,white,2011
Red Bull,Korean ,40.0,#121F45,2011
McLaren,Korean ,30.0,#FF8000,2011
Ferrari,Korean ,18.0,#A6051A,2011
Toro Rosso,Korean ,8.0,#469BFF,2011
Mercedes,Korean ,4.0,#00A19C,2011
Force India,Korean ,1.0,#F596C8,2011
Williams,Korean ,0.0,#005AFF,2011
Renault,Korean ,0.0,#FFF500,2011
Lotus,Korean ,0.0,#FFB800,2011
Sauber,Korean ,0.0,#9B0000,2011
Virgin,Korean ,0.0,white,2011
HRT,Korean ,0.0,white,2011
Red Bull,Indian ,37.0,#121F45,2011
McLaren,Indian ,24.0,#FF8000,2011
Ferrari,Indian ,15.0,#A6051A,2011
Mercedes,Indian ,18.0,#00A19C,2011
Toro Rosso,Indian ,4.0,#469BFF,2011
Force India,Indian ,2.0,#F596C8,2011
Sauber,Indian ,1.0,#9B0000,2011
Renault,Indian ,0.0,#FFF500,2011
Lotus,Indian ,0.0,#FFB800,2011
Williams,Indian ,0.0,#005AFF,2011
Virgin,Indian ,0.0,white,2011
HRT,Indian ,0.0,white,2011
McLaren,Abu Dhabi ,40.0,#FF8000,2011
Ferrari,Abu Dhabi ,28.0,#A6051A,2011
Red Bull,Abu Dhabi ,12.0,#121F45,2011
Mercedes,Abu Dhabi ,14.0,#00A19C,2011
Force India,Abu Dhabi ,6.0,#F596C8,2011
Sauber,Abu Dhabi ,1.0,#9B0000,2011
Williams,Abu Dhabi ,0.0,#005AFF,2011
Renault,Abu Dhabi ,0.0,#FFF500,2011
Toro Rosso,Abu Dhabi ,0.0,#469BFF,2011
Lotus,Abu Dhabi ,0.0,#FFB800,2011
Virgin,Abu Dhabi ,0.0,white,2011
HRT,Abu Dhabi ,0.0,white,2011
Red Bull,Brazilian ,43.0,#121F45,2011
McLaren,Brazilian ,15.0,#FF8000,2011
Ferrari,Brazilian ,22.0,#A6051A,2011
Force India,Brazilian ,12.0,#F596C8,2011
Mercedes,Brazilian ,6.0,#00A19C,2011
Sauber,Brazilian ,2.0,#9B0000,2011
Renault,Brazilian ,1.0,#FFF500,2011
Toro Rosso,Brazilian ,0.0,#469BFF,2011
Williams,Brazilian ,0.0,#005AFF,2011
Lotus,Brazilian ,0.0,#FFB800,2011
Virgin,Brazilian ,0.0,white,2011
HRT,Brazilian ,0.0,white,2011
HRT,Australian ,0.0,white,2011
