Team,GP,points,c,year
Renault,Bahrain ,10.0,#FFF500,2006
Ferrari,Bahrain ,8.0,#A6051A,2006
McLaren,Bahrain ,10.0,#FF8000,2006
Honda,Bahrain ,5.0,#cccfc8,2006
Williams,Bahrain ,5.0,#005AFF,2006
Red Bull,Bahrain ,1.0,#121F45,2006
Toro Rosso,Bahrain ,0.0,#469BFF,2006
BMW Sauber,Bahrain ,0.0,#ffffff,2006
Toyota,Bahrain ,0.0,#8e0018,2006
MF1,Bahrain ,0.0,white,2006
Super Aguri,Bahrain ,0.0,#b61211,2006
Renault,Malaysian ,18.0,#FFF500,2006
Honda,Malaysian ,6.0,#cccfc8,2006
McLaren,Malaysian ,5.0,#FF8000,2006
Ferrari,Malaysian ,7.0,#A6051A,2006
BMW Sauber,Malaysian ,2.0,#ffffff,2006
Toyota,Malaysian ,1.0,#8e0018,2006
Toro Rosso,Malaysian ,0.0,#469BFF,2006
MF1,Malaysian ,0.0,white,2006
Super Aguri,Malaysian ,0.0,#b61211,2006
Red Bull,Malaysian ,0.0,#121F45,2006
Williams,Malaysian ,0.0,#005AFF,2006
Renault,Australian ,14.0,#FFF500,2006
McLaren,Australian ,8.0,#FF8000,2006
Toyota,Australian ,6.0,#8e0018,2006
BMW Sauber,Australian ,8.0,#ffffff,2006
Honda,Australian ,2.0,#cccfc8,2006
Red Bull,Australian ,1.0,#121F45,2006
Toro Rosso,Australian ,0.0,#469BFF,2006
MF1,Australian ,0.0,white,2006
Super Aguri,Australian ,0.0,#b61211,2006
Ferrari,Australian ,0.0,#A6051A,2006
Williams,Australian ,0.0,#005AFF,2006
Ferrari,San Marino ,15.0,#A6051A,2006
Renault,San Marino ,9.0,#FFF500,2006
McLaren,San Marino ,10.0,#FF8000,2006
Williams,San Marino ,3.0,#005AFF,2006
Honda,San Marino ,2.0,#cccfc8,2006
Toyota,San Marino ,0.0,#8e0018,2006
BMW Sauber,San Marino ,0.0,#ffffff,2006
Toro Rosso,San Marino ,0.0,#469BFF,2006
MF1,San Marino ,0.0,white,2006
Red Bull,San Marino ,0.0,#121F45,2006
Super Aguri,San Marino ,0.0,#b61211,2006
Ferrari,European ,16.0,#A6051A,2006
Renault,European ,11.0,#FFF500,2006
McLaren,European ,5.0,#FF8000,2006
Honda,European ,4.0,#cccfc8,2006
Williams,European ,2.0,#005AFF,2006
BMW Sauber,European ,1.0,#ffffff,2006
Toyota,European ,0.0,#8e0018,2006
Toro Rosso,European ,0.0,#469BFF,2006
MF1,European ,0.0,white,2006
Super Aguri,European ,0.0,#b61211,2006
Red Bull,European ,0.0,#121F45,2006
Renault,Spanish ,16.0,#FFF500,2006
Ferrari,Spanish ,13.0,#A6051A,2006
McLaren,Spanish ,4.0,#FF8000,2006
Honda,Spanish ,5.0,#cccfc8,2006
BMW Sauber,Spanish ,1.0,#ffffff,2006
Williams,Spanish ,0.0,#005AFF,2006
Toyota,Spanish ,0.0,#8e0018,2006
Red Bull,Spanish ,0.0,#121F45,2006
Toro Rosso,Spanish ,0.0,#469BFF,2006
MF1,Spanish ,0.0,white,2006
Super Aguri,Spanish ,0.0,#b61211,2006
Renault,Monaco ,13.0,#FFF500,2006
McLaren,Monaco ,8.0,#FF8000,2006
Red Bull,Monaco ,6.0,#121F45,2006
Honda,Monaco ,5.0,#cccfc8,2006
Ferrari,Monaco ,4.0,#A6051A,2006
BMW Sauber,Monaco ,2.0,#ffffff,2006
Toyota,Monaco ,1.0,#8e0018,2006
