Team,points,c,pos,wins,poles,FastLap,LapsLed,year
Red Bull,460.0,#121F45,1st,7,7,7,434,2012
Ferrari,400.0,#A6051A,2nd,3,2,0,217,2012
McLaren,378.0,#FF8000,3rd,7,9,3,365,2012
Lotus F1,303.0,#FFB800,4th,1,0,3,48,2012
Mercedes,142.0,#00A19C,5th,1,2,3,48,2012
Sauber,126.0,#9B0000,6th,0,0,2,12,2012
Force India,109.0,#F596C8,7th,0,0,1,31,2012
Williams,76.0,#005AFF,8th,1,0,1,37,2012
Toro Rosso,26.0,#469BFF,9th,0,0,0,0,2012
Caterham,0.0,,10th,0,0,0,0,2012
HRT,0.0,,11th,0,0,0,0,2012
Marussia,0.0,#6E0000,12th,0,0,0,0,2012
