Team,GP,points,c,year
Sauber,Belgian ,0.0,#9B0000,2013
Williams,Belgian ,0.0,#005AFF,2013
Caterham,Belgian ,0.0,white,2013
Marussia,Belgian ,0.0,#6E0000,2013
Red Bull,Italian ,40.0,#121F45,2013
Ferrari,Italian ,30.0,#A6051A,2013
Sauber,Italian ,10.0,#9B0000,2013
Mercedes,Italian ,10.0,#00A19C,2013
Toro Rosso,Italian ,6.0,#469BFF,2013
Lotus F1,Italian ,4.0,#FFB800,2013
McLaren,Italian ,1.0,#FF8000,2013
Williams,Italian ,0.0,#005AFF,2013
Force India,Italian ,0.0,#F596C8,2013
Caterham,Italian ,0.0,white,2013
Marussia,Italian ,0.0,#6E0000,2013
Red Bull,Singapore ,25.0,#121F45,2013
Ferrari,Singapore ,26.0,#A6051A,2013
Lotus F1,Singapore ,15.0,#FFB800,2013
Mercedes,Singapore ,22.0,#00A19C,2013
McLaren,Singapore ,10.0,#FF8000,2013
Sauber,Singapore ,2.0,#9B0000,2013
Force India,Singapore ,1.0,#F596C8,2013
Williams,Singapore ,0.0,#005AFF,2013
Toro Rosso,Singapore ,0.0,#469BFF,2013
Caterham,Singapore ,0.0,white,2013
Marussia,Singapore ,0.0,#6E0000,2013
Red Bull,Korean ,25.0,#121F45,2013
Lotus F1,Korean ,33.0,#FFB800,2013
Sauber,Korean ,12.0,#9B0000,2013
Mercedes,Korean ,16.0,#00A19C,2013
Ferrari,Korean ,10.0,#A6051A,2013
McLaren,Korean ,5.0,#FF8000,2013
Williams,Korean ,0.0,#005AFF,2013
Caterham,Korean ,0.0,white,2013
Marussia,Korean ,0.0,#6E0000,2013
Toro Rosso,Korean ,0.0,#469BFF,2013
Force India,Korean ,0.0,#F596C8,2013
Red Bull,Japanese ,43.0,#121F45,2013
Lotus F1,Japanese ,25.0,#FFB800,2013
Ferrari,Japanese ,13.0,#A6051A,2013
Sauber,Japanese ,14.0,#9B0000,2013
Mercedes,Japanese ,4.0,#00A19C,2013
McLaren,Japanese ,2.0,#FF8000,2013
Force India,Japanese ,0.0,#F596C8,2013
Toro Rosso,Japanese ,0.0,#469BFF,2013
Williams,Japanese ,0.0,#005AFF,2013
Caterham,Japanese ,0.0,white,2013
Marussia,Japanese ,0.0,#6E0000,2013
Red Bull,Indian ,25.0,#121F45,2013
Mercedes,Indian ,26.0,#00A19C,2013
Lotus F1,Indian ,21.0,#FFB800,2013
Ferrari,Indian ,12.0,#A6051A,2013
McLaren,Indian ,10.0,#FF8000,2013
Force India,Indian ,6.0,#F596C8,2013
Toro Rosso,Indian ,1.0,#469BFF,2013
Williams,Indian ,0.0,#005AFF,2013
Sauber,Indian ,0.0,#9B0000,2013
Marussia,Indian ,0.0,#6E0000,2013
Caterham,Indian ,0.0,white,2013
Red Bull,Abu Dhabi ,43.0,#121F45,2013
Mercedes,Abu Dhabi ,21.0,#00A19C,2013
Lotus F1,Abu Dhabi ,12.0,#FFB800,2013
Ferrari,Abu Dhabi ,14.0,#A6051A,2013
Force India,Abu Dhabi ,9.0,#F596C8,2013
McLaren,Abu Dhabi ,2.0,#FF8000,2013
Williams,Abu Dhabi ,0.0,#005AFF,2013
Sauber,Abu Dhabi ,0.0,#9B0000,2013
Toro Rosso,Abu Dhabi ,0.0,#469BFF,2013
Caterham,Abu Dhabi ,0.0,white,2013
Marussia,Abu Dhabi ,0.0,#6E0000,2013
Red Bull,United States ,40.0,#121F45,2013
Lotus F1,United States ,18.0,#FFB800,2013
Mercedes,United States ,14.0,#00A19C,2013
Ferrari,United States ,10.0,#A6051A,2013
