Team,GP,points,c,year
Mercedes,Bahrain ,41.0,#00A19C,2021
Red Bull,Bahrain ,28.0,#121F45,2021
McLaren,Bahrain ,18.0,#FF8000,2021
Ferrari,Bahrain ,12.0,#A6051A,2021
AlphaTauri,Bahrain ,2.0,#00293F,2021
Aston Martin,Bahrain ,1.0,#00352F,2021
Alfa Romeo,Bahrain ,0.0,#981E32,2021
Alpine F1 Team,Bahrain ,0.0,#005BA9,2021
Williams,Bahrain ,0.0,#005AFF,2021
Haas F1 Team,Bahrain ,0.0,#F9F2F2,2021
Red Bull,Emilia Romagna ,25.0,#121F45,2021
Mercedes,Emilia Romagna ,19.0,#00A19C,2021
McLaren,Emilia Romagna ,23.0,#FF8000,2021
Ferrari,Emilia Romagna ,22.0,#A6051A,2021
Aston Martin,Emilia Romagna ,4.0,#00352F,2021
AlphaTauri,Emilia Romagna ,6.0,#00293F,2021
Alfa Romeo,Emilia Romagna ,0.0,#981E32,2021
Alpine F1 Team,Emilia Romagna ,3.0,#005BA9,2021
Haas F1 Team,Emilia Romagna ,0.0,#F9F2F2,2021
Williams,Emilia Romagna ,0.0,#005AFF,2021
Mercedes,Portuguese ,41.0,#00A19C,2021
Red Bull,Portuguese ,30.0,#121F45,2021
McLaren,Portuguese ,12.0,#FF8000,2021
Ferrari,Portuguese ,8.0,#A6051A,2021
Alpine F1 Team,Portuguese ,10.0,#005BA9,2021
AlphaTauri,Portuguese ,1.0,#00293F,2021
Alfa Romeo,Portuguese ,0.0,#981E32,2021
Aston Martin,Portuguese ,0.0,#00352F,2021
Williams,Portuguese ,0.0,#005AFF,2021
Haas F1 Team,Portuguese ,0.0,#F9F2F2,2021
Mercedes,Spanish ,40.0,#00A19C,2021
Red Bull,Spanish ,29.0,#121F45,2021
Ferrari,Spanish ,18.0,#A6051A,2021
McLaren,Spanish ,12.0,#FF8000,2021
Alpine F1 Team,Spanish ,2.0,#005BA9,2021
AlphaTauri,Spanish ,1.0,#00293F,2021
Aston Martin,Spanish ,0.0,#00352F,2021
Alfa Romeo,Spanish ,0.0,#981E32,2021
Williams,Spanish ,0.0,#005AFF,2021
Haas F1 Team,Spanish ,0.0,#F9F2F2,2021
Ferrari,Monaco ,18.0,#A6051A,2021
Red Bull,Monaco ,37.0,#121F45,2021
McLaren,Monaco ,15.0,#FF8000,2021
Aston Martin,Monaco ,14.0,#00352F,2021
AlphaTauri,Monaco ,8.0,#00293F,2021
Mercedes,Monaco ,7.0,#00A19C,2021
Alpine F1 Team,Monaco ,2.0,#005BA9,2021
Alfa Romeo,Monaco ,1.0,#981E32,2021
Williams,Monaco ,0.0,#005AFF,2021
Haas F1 Team,Monaco ,0.0,#F9F2F2,2021
Red Bull,Azerbaijan ,25.0,#121F45,2021
Aston Martin,Azerbaijan ,18.0,#00352F,2021
AlphaTauri,Azerbaijan ,21.0,#00293F,2021
Ferrari,Azerbaijan ,16.0,#A6051A,2021
McLaren,Azerbaijan ,12.0,#FF8000,2021
Alpine F1 Team,Azerbaijan ,8.0,#005BA9,2021
Alfa Romeo,Azerbaijan ,1.0,#981E32,2021
Mercedes,Azerbaijan ,0.0,#00A19C,2021
Haas F1 Team,Azerbaijan ,0.0,#F9F2F2,2021
Williams,Azerbaijan ,0.0,#005AFF,2021
Red Bull,French ,41.0,#121F45,2021
Mercedes,French ,30.0,#00A19C,2021
McLaren,French ,18.0,#FF8000,2021
AlphaTauri,French ,6.0,#00293F,2021
Alpine F1 Team,French ,4.0,#005BA9,2021
Aston Martin,French ,3.0,#00352F,2021
Ferrari,French ,0.0,#A6051A,2021
Williams,French ,0.0,#005AFF,2021
Alfa Romeo,French ,0.0,#981E32,2021
Haas F1 Team,French ,0.0,#F9F2F2,2021
Red Bull,Styrian ,37.0,#121F45,2021
Mercedes,Styrian ,34.0,#00A19C,2021
McLaren,Styrian ,10.0,#FF8000,2021
Ferrari,Styrian ,14.0,#A6051A,2021
Aston Martin,Styrian ,4.0,#00352F,2021
Alpine F1 Team,Styrian ,2.0,#005BA9,2021
AlphaTauri,Styrian ,1.0,#00293F,2021
Alfa Romeo,Styrian ,0.0,#981E32,2021
Haas F1 Team,Styrian ,0.0,#F9F2F2,2021
Williams,Styrian ,0.0,#005AFF,2021
Red Bull,Austrian ,34.0,#121F45,2021
Mercedes,Austrian ,30.0,#00A19C,2021
McLaren,Austrian ,21.0,#FF8000,2021
Ferrari,Austrian ,14.0,#A6051A,2021
AlphaTauri,Austrian ,2.0,#00293F,2021
Alpine F1 Team,Austrian ,1.0,#005BA9,2021
Williams,Austrian ,0.0,#005AFF,2021
