Team,GP,points,c,year
BMW Sauber,Hungarian ,0.0,#ffffff,2009
Renault,Hungarian ,0.0,#FFF500,2009
Force India,Hungarian ,0.0,#F596C8,2009
Toro Rosso,Hungarian ,0.0,#469BFF,2009
Brawn,European ,12.0,#cccfc8,2009
McLaren,European ,13.0,#FF8000,2009
Ferrari,European ,6.0,#A6051A,2009
Williams,European ,4.0,#005AFF,2009
Renault,European ,3.0,#FFF500,2009
BMW Sauber,European ,1.0,#ffffff,2009
Red Bull,European ,0.0,#121F45,2009
Force India,European ,0.0,#F596C8,2009
Toyota,European ,0.0,#8e0018,2009
Toro Rosso,European ,0.0,#469BFF,2009
Ferrari,Belgian ,10.0,#A6051A,2009
Force India,Belgian ,8.0,#F596C8,2009
Red Bull,Belgian ,6.0,#121F45,2009
BMW Sauber,Belgian ,9.0,#ffffff,2009
McLaren,Belgian ,3.0,#FF8000,2009
Brawn,Belgian ,2.0,#cccfc8,2009
Williams,Belgian ,1.0,#005AFF,2009
Toyota,Belgian ,0.0,#8e0018,2009
Toro Rosso,Belgian ,0.0,#469BFF,2009
Renault,Belgian ,0.0,#FFF500,2009
Brawn,Italian ,18.0,#cccfc8,2009
Ferrari,Italian ,6.0,#A6051A,2009
Force India,Italian ,5.0,#F596C8,2009
Renault,Italian ,4.0,#FFF500,2009
McLaren,Italian ,3.0,#FF8000,2009
BMW Sauber,Italian ,2.0,#ffffff,2009
Red Bull,Italian ,1.0,#121F45,2009
Williams,Italian ,0.0,#005AFF,2009
Toyota,Italian ,0.0,#8e0018,2009
Toro Rosso,Italian ,0.0,#469BFF,2009
McLaren,Singapore ,12.0,#FF8000,2009
Toyota,Singapore ,8.0,#8e0018,2009
Renault,Singapore ,6.0,#FFF500,2009
Red Bull,Singapore ,5.0,#121F45,2009
Brawn,Singapore ,7.0,#cccfc8,2009
BMW Sauber,Singapore ,1.0,#ffffff,2009
Williams,Singapore ,0.0,#005AFF,2009
Ferrari,Singapore ,0.0,#A6051A,2009
Force India,Singapore ,0.0,#F596C8,2009
Toro Rosso,Singapore ,0.0,#469BFF,2009
Red Bull,Japanese ,10.0,#121F45,2009
Toyota,Japanese ,8.0,#8e0018,2009
McLaren,Japanese ,6.0,#FF8000,2009
Ferrari,Japanese ,5.0,#A6051A,2009
Williams,Japanese ,4.0,#005AFF,2009
BMW Sauber,Japanese ,3.0,#ffffff,2009
Brawn,Japanese ,3.0,#cccfc8,2009
Renault,Japanese ,0.0,#FFF500,2009
Force India,Japanese ,0.0,#F596C8,2009
Toro Rosso,Japanese ,0.0,#469BFF,2009
Red Bull,Brazilian ,15.0,#121F45,2009
BMW Sauber,Brazilian ,8.0,#ffffff,2009
McLaren,Brazilian ,6.0,#FF8000,2009
Brawn,Brazilian ,5.0,#cccfc8,2009
Ferrari,Brazilian ,3.0,#A6051A,2009
Toro Rosso,Brazilian ,2.0,#469BFF,2009
Toyota,Brazilian ,0.0,#8e0018,2009
Force India,Brazilian ,0.0,#F596C8,2009
Renault,Brazilian ,0.0,#FFF500,2009
Williams,Brazilian ,0.0,#005AFF,2009
Red Bull,Abu Dhabi ,18.0,#121F45,2009
Brawn,Abu Dhabi ,11.0,#cccfc8,2009
BMW Sauber,Abu Dhabi ,4.0,#ffffff,2009
Toyota,Abu Dhabi ,5.0,#8e0018,2009
Toro Rosso,Abu Dhabi ,1.0,#469BFF,2009
Williams,Abu Dhabi ,0.0,#005AFF,2009
McLaren,Abu Dhabi ,0.0,#FF8000,2009
Ferrari,Abu Dhabi ,0.0,#A6051A,2009
Renault,Abu Dhabi ,0.0,#FFF500,2009
Force India,Abu Dhabi ,0.0,#F596C8,2009
