Team,GP,points,c,year
McLaren,Australian ,40.0,#FF8000,2012
Red Bull,Australian ,30.0,#121F45,2012
Ferrari,Australian ,10.0,#A6051A,2012
Sauber,Australian ,12.0,#9B0000,2012
Lotus F1,Australian ,6.0,#FFB800,2012
Toro Rosso,Australian ,2.0,#469BFF,2012
Force India,Australian ,1.0,#F596C8,2012
Mercedes,Australian ,0.0,#00A19C,2012
Williams,Australian ,0.0,#005AFF,2012
Marussia,Australian ,0.0,#6E0000,2012
Caterham,Australian ,0.0,white,2012
Ferrari,Malaysian ,25.0,#A6051A,2012
Sauber,Malaysian ,18.0,#9B0000,2012
McLaren,Malaysian ,15.0,#FF8000,2012
Red Bull,Malaysian ,12.0,#121F45,2012
Lotus F1,Malaysian ,10.0,#FFB800,2012
Williams,Malaysian ,8.0,#005AFF,2012
Force India,Malaysian ,8.0,#F596C8,2012
Toro Rosso,Malaysian ,4.0,#469BFF,2012
Mercedes,Malaysian ,1.0,#00A19C,2012
Caterham,Malaysian ,0.0,white,2012
Marussia,Malaysian ,0.0,#6E0000,2012
HRT,Malaysian ,0.0,white,2012
Mercedes,Chinese ,25.0,#00A19C,2012
McLaren,Chinese ,33.0,#FF8000,2012
Red Bull,Chinese ,22.0,#121F45,2012
Lotus F1,Chinese ,8.0,#FFB800,2012
Williams,Chinese ,10.0,#005AFF,2012
Ferrari,Chinese ,2.0,#A6051A,2012
Sauber,Chinese ,1.0,#9B0000,2012
Force India,Chinese ,0.0,#F596C8,2012
Toro Rosso,Chinese ,0.0,#469BFF,2012
Caterham,Chinese ,0.0,white,2012
Marussia,Chinese ,0.0,#6E0000,2012
HRT,Chinese ,0.0,white,2012
Red Bull,Bahrain ,37.0,#121F45,2012
Lotus F1,Bahrain ,33.0,#FFB800,2012
Mercedes,Bahrain ,11.0,#00A19C,2012
Force India,Bahrain ,8.0,#F596C8,2012
Ferrari,Bahrain ,8.0,#A6051A,2012
McLaren,Bahrain ,4.0,#FF8000,2012
Sauber,Bahrain ,0.0,#9B0000,2012
Toro Rosso,Bahrain ,0.0,#469BFF,2012
Caterham,Bahrain ,0.0,white,2012
Marussia,Bahrain ,0.0,#6E0000,2012
HRT,Bahrain ,0.0,white,2012
Williams,Bahrain ,0.0,#005AFF,2012
