Team,GP,points,c,year
Ferrari,Australian ,37.0,#A6051A,2017
Mercedes,Australian ,33.0,#00A19C,2017
Red Bull,Australian ,10.0,#121F45,2017
Williams,Australian ,8.0,#005AFF,2017
Force India,Australian ,7.0,#F596C8,2017
Toro Rosso,Australian ,6.0,#469BFF,2017
Renault,Australian ,0.0,#FFF500,2017
Sauber,Australian ,0.0,#9B0000,2017
McLaren,Australian ,0.0,#FF8000,2017
Haas F1 Team,Australian ,0.0,#F9F2F2,2017
Mercedes,Chinese ,33.0,#00A19C,2017
Ferrari,Chinese ,28.0,#A6051A,2017
Red Bull,Chinese ,27.0,#121F45,2017
Toro Rosso,Chinese ,6.0,#469BFF,2017
Haas F1 Team,Chinese ,4.0,#F9F2F2,2017
Force India,Chinese ,3.0,#F596C8,2017
Renault,Chinese ,0.0,#FFF500,2017
Williams,Chinese ,0.0,#005AFF,2017
Sauber,Chinese ,0.0,#9B0000,2017
McLaren,Chinese ,0.0,#FF8000,2017
Ferrari,Bahrain ,37.0,#A6051A,2017
Mercedes,Bahrain ,33.0,#00A19C,2017
Red Bull,Bahrain ,10.0,#121F45,2017
Williams,Bahrain ,8.0,#005AFF,2017
Force India,Bahrain ,7.0,#F596C8,2017
Haas F1 Team,Bahrain ,4.0,#F9F2F2,2017
Renault,Bahrain ,2.0,#FFF500,2017
Sauber,Bahrain ,0.0,#9B0000,2017
Toro Rosso,Bahrain ,0.0,#469BFF,2017
McLaren,Bahrain ,0.0,#FF8000,2017
Mercedes,Russian ,37.0,#00A19C,2017
Ferrari,Russian ,33.0,#A6051A,2017
Red Bull,Russian ,10.0,#121F45,2017
Force India,Russian ,14.0,#F596C8,2017
Renault,Russian ,4.0,#FFF500,2017
Williams,Russian ,2.0,#005AFF,2017
Toro Rosso,Russian ,1.0,#469BFF,2017
Haas F1 Team,Russian ,0.0,#F9F2F2,2017
McLaren,Russian ,0.0,#FF8000,2017
Sauber,Russian ,0.0,#9B0000,2017
Mercedes,Spanish ,25.0,#00A19C,2017
Ferrari,Spanish ,18.0,#A6051A,2017
Red Bull,Spanish ,15.0,#121F45,2017
Force India,Spanish ,22.0,#F596C8,2017
Renault,Spanish ,8.0,#FFF500,2017
Toro Rosso,Spanish ,8.0,#469BFF,2017
Sauber,Spanish ,4.0,#9B0000,2017
Haas F1 Team,Spanish ,1.0,#F9F2F2,2017
McLaren,Spanish ,0.0,#FF8000,2017
Williams,Spanish ,0.0,#005AFF,2017
Ferrari,Monaco ,43.0,#A6051A,2017
Red Bull,Monaco ,25.0,#121F45,2017
Mercedes,Monaco ,18.0,#00A19C,2017
Toro Rosso,Monaco ,8.0,#469BFF,2017
Haas F1 Team,Monaco ,5.0,#F9F2F2,2017
Williams,Monaco ,2.0,#005AFF,2017
Renault,Monaco ,0.0,#FFF500,2017
Force India,Monaco ,0.0,#F596C8,2017
McLaren,Monaco ,0.0,#FF8000,2017
Sauber,Monaco ,0.0,#9B0000,2017
Mercedes,Canadian ,43.0,#00A19C,2017
Red Bull,Canadian ,15.0,#121F45,2017
Ferrari,Canadian ,18.0,#A6051A,2017
Force India,Canadian ,18.0,#F596C8,2017
Renault,Canadian ,4.0,#FFF500,2017
Williams,Canadian ,2.0,#005AFF,2017
Haas F1 Team,Canadian ,1.0,#F9F2F2,2017
Sauber,Canadian ,0.0,#9B0000,2017
McLaren,Canadian ,0.0,#FF8000,2017
Toro Rosso,Canadian ,0.0,#469BFF,2017
Red Bull,Azerbaijan ,25.0,#121F45,2017
Mercedes,Azerbaijan ,28.0,#00A19C,2017
Williams,Azerbaijan ,15.0,#005AFF,2017
Ferrari,Azerbaijan ,12.0,#A6051A,2017
Force India,Azerbaijan ,8.0,#F596C8,2017
Haas F1 Team,Azerbaijan ,6.0,#F9F2F2,2017
Toro Rosso,Azerbaijan ,4.0,#469BFF,2017
McLaren,Azerbaijan ,2.0,#FF8000,2017
Sauber,Azerbaijan ,1.0,#9B0000,2017
Renault,Azerbaijan ,0.0,#FFF500,2017
