Team,GP,points,c,year
Mercedes,Austrian ,37.0,#00A19C,2017
Ferrari,Austrian ,28.0,#A6051A,2017
Red Bull,Austrian ,15.0,#121F45,2017
Haas F1 Team,Austrian ,8.0,#F9F2F2,2017
Force India,Austrian ,10.0,#F596C8,2017
Williams,Austrian ,3.0,#005AFF,2017
Renault,Austrian ,0.0,#FFF500,2017
McLaren,Austrian ,0.0,#FF8000,2017
Sauber,Austrian ,0.0,#9B0000,2017
Toro Rosso,Austrian ,0.0,#469BFF,2017
Mercedes,British ,43.0,#00A19C,2017
Ferrari,British ,21.0,#A6051A,2017
Red Bull,British ,22.0,#121F45,2017
Renault,British ,8.0,#FFF500,2017
Force India,British ,6.0,#F596C8,2017
Williams,British ,1.0,#005AFF,2017
McLaren,British ,0.0,#FF8000,2017
Haas F1 Team,British ,0.0,#F9F2F2,2017
Sauber,British ,0.0,#9B0000,2017
Toro Rosso,British ,0.0,#469BFF,2017
Ferrari,Hungarian ,43.0,#A6051A,2017
Mercedes,Hungarian ,27.0,#00A19C,2017
Red Bull,Hungarian ,10.0,#121F45,2017
McLaren,Hungarian ,9.0,#FF8000,2017
Toro Rosso,Hungarian ,6.0,#469BFF,2017
Force India,Hungarian ,6.0,#F596C8,2017
Renault,Hungarian ,0.0,#FFF500,2017
Haas F1 Team,Hungarian ,0.0,#F9F2F2,2017
Williams,Hungarian ,0.0,#005AFF,2017
Sauber,Hungarian ,0.0,#9B0000,2017
Mercedes,Belgian ,35.0,#00A19C,2017
Ferrari,Belgian ,30.0,#A6051A,2017
Red Bull,Belgian ,15.0,#121F45,2017
Renault,Belgian ,8.0,#FFF500,2017
Haas F1 Team,Belgian ,6.0,#F9F2F2,2017
Williams,Belgian ,4.0,#005AFF,2017
Force India,Belgian ,2.0,#F596C8,2017
Toro Rosso,Belgian ,1.0,#469BFF,2017
McLaren,Belgian ,0.0,#FF8000,2017
Sauber,Belgian ,0.0,#9B0000,2017
Mercedes,Italian ,43.0,#00A19C,2017
Ferrari,Italian ,25.0,#A6051A,2017
Red Bull,Italian ,13.0,#121F45,2017
Force India,Italian ,10.0,#F596C8,2017
Williams,Italian ,10.0,#005AFF,2017
Haas F1 Team,Italian ,0.0,#F9F2F2,2017
Toro Rosso,Italian ,0.0,#469BFF,2017
Renault,Italian ,0.0,#FFF500,2017
Sauber,Italian ,0.0,#9B0000,2017
McLaren,Italian ,0.0,#FF8000,2017
Mercedes,Singapore ,40.0,#00A19C,2017
Red Bull,Singapore ,18.0,#121F45,2017
Toro Rosso,Singapore ,12.0,#469BFF,2017
Force India,Singapore ,11.0,#F596C8,2017
Renault,Singapore ,8.0,#FFF500,2017
McLaren,Singapore ,6.0,#FF8000,2017
Williams,Singapore ,4.0,#005AFF,2017
Haas F1 Team,Singapore ,2.0,#F9F2F2,2017
Sauber,Singapore ,0.0,#9B0000,2017
Ferrari,Singapore ,0.0,#A6051A,2017
Red Bull,Malaysian ,40.0,#121F45,2017
Mercedes,Malaysian ,28.0,#00A19C,2017
Ferrari,Malaysian ,12.0,#A6051A,2017
Force India,Malaysian ,9.0,#F596C8,2017
McLaren,Malaysian ,6.0,#FF8000,2017
Williams,Malaysian ,6.0,#005AFF,2017
Haas F1 Team,Malaysian ,0.0,#F9F2F2,2017
Toro Rosso,Malaysian ,0.0,#469BFF,2017
Renault,Malaysian ,0.0,#FFF500,2017
Sauber,Malaysian ,0.0,#9B0000,2017
Mercedes,Japanese ,37.0,#00A19C,2017
Red Bull,Japanese ,33.0,#121F45,2017
Ferrari,Japanese ,10.0,#A6051A,2017
Force India,Japanese ,14.0,#F596C8,2017
Haas F1 Team,Japanese ,6.0,#F9F2F2,2017
Williams,Japanese ,1.0,#005AFF,2017
McLaren,Japanese ,0.0,#FF8000,2017
Renault,Japanese ,0.0,#FFF500,2017
Toro Rosso,Japanese ,0.0,#469BFF,2017
Sauber,Japanese ,0.0,#9B0000,2017
Mercedes,United States ,35.0,#00A19C,2017
Ferrari,United States ,33.0,#A6051A,2017
Red Bull,United States ,12.0,#121F45,2017
Force India,United States ,12.0,#F596C8,2017
Renault,United States ,6.0,#FFF500,2017
Williams,United States ,2.0,#005AFF,2017
Toro Rosso,United States ,1.0,#469BFF,2017
McLaren,United States ,0.0,#FF8000,2017
Haas F1 Team,United States ,0.0,#F9F2F2,2017
Sauber,United States ,0.0,#9B0000,2017
Red Bull,Mexican ,25.0,#121F45,2017
Mercedes,Mexican ,20.0,#00A19C,2017
Ferrari,Mexican ,27.0,#A6051A,2017
Force India,Mexican ,16.0,#F596C8,2017
Williams,Mexican ,8.0,#005AFF,2017
Haas F1 Team,Mexican ,4.0,#F9F2F2,2017
McLaren,Mexican ,1.0,#FF8000,2017
Toro Rosso,Mexican ,0.0,#469BFF,2017
Sauber,Mexican ,0.0,#9B0000,2017
Renault,Mexican ,0.0,#FFF500,2017
Ferrari,Brazilian ,40.0,#A6051A,2017
Mercedes,Brazilian ,30.0,#00A19C,2017
Red Bull,Brazilian ,18.0,#121F45,2017
Williams,Brazilian ,6.0,#005AFF,2017
McLaren,Brazilian ,4.0,#FF8000,2017
Force India,Brazilian ,2.0,#F596C8,2017
Renault,Brazilian ,1.0,#FFF500,2017
Toro Rosso,Brazilian ,0.0,#469BFF,2017
Sauber,Brazilian ,0.0,#9B0000,2017
Haas F1 Team,Brazilian ,0.0,#F9F2F2,2017
Mercedes,Abu Dhabi ,43.0,#00A19C,2017
Ferrari,Abu Dhabi ,27.0,#A6051A,2017
Red Bull,Abu Dhabi ,10.0,#121F45,2017
Renault,Abu Dhabi ,8.0,#FFF500,2017
Force India,Abu Dhabi ,10.0,#F596C8,2017
McLaren,Abu Dhabi ,2.0,#FF8000,2017
Williams,Abu Dhabi ,1.0,#005AFF,2017
Haas F1 Team,Abu Dhabi ,0.0,#F9F2F2,2017
Sauber,Abu Dhabi ,0.0,#9B0000,2017
Toro Rosso,Abu Dhabi ,0.0,#469BFF,2017
