Team,GP,points,c,year
Red Bull,Russian ,10.0,#121F45,2015
Sauber,Russian ,8.0,#9B0000,2015
Lotus F1,Russian ,6.0,#FFB800,2015
McLaren,Russian ,2.0,#FF8000,2015
Toro Rosso,Russian ,1.0,#469BFF,2015
Manor Marussia,Russian ,0.0,white,2015
Marussia,Russian ,0.0,#6E0000,2015
Mercedes,United States ,43.0,#00A19C,2015
Ferrari,United States ,15.0,#A6051A,2015
Toro Rosso,United States ,18.0,#469BFF,2015
Force India,United States ,10.0,#F596C8,2015
McLaren,United States ,8.0,#FF8000,2015
Lotus F1,United States ,4.0,#FFB800,2015
Sauber,United States ,2.0,#9B0000,2015
Red Bull,United States ,1.0,#121F45,2015
Manor Marussia,United States ,0.0,white,2015
Williams,United States ,0.0,#005AFF,2015
Mercedes,Mexican ,43.0,#00A19C,2015
Williams,Mexican ,23.0,#005AFF,2015
Red Bull,Mexican ,22.0,#121F45,2015
Force India,Mexican ,10.0,#F596C8,2015
Toro Rosso,Mexican ,2.0,#469BFF,2015
Lotus F1,Mexican ,1.0,#FFB800,2015
Sauber,Mexican ,0.0,#9B0000,2015
McLaren,Mexican ,0.0,#FF8000,2015
Marussia,Mexican ,0.0,#6E0000,2015
Ferrari,Mexican ,0.0,#A6051A,2015
Mercedes,Brazilian ,43.0,#00A19C,2015
Ferrari,Brazilian ,27.0,#A6051A,2015
Williams,Brazilian ,10.0,#005AFF,2015
Force India,Brazilian ,8.0,#F596C8,2015
Red Bull,Brazilian ,6.0,#121F45,2015
Lotus F1,Brazilian ,5.0,#FFB800,2015
Toro Rosso,Brazilian ,2.0,#469BFF,2015
Sauber,Brazilian ,0.0,#9B0000,2015
McLaren,Brazilian ,0.0,#FF8000,2015
Manor Marussia,Brazilian ,0.0,white,2015
Manor Marussia,Mexican ,0.0,white,2015
Mercedes,Abu Dhabi ,43.0,#00A19C,2015
Ferrari,Abu Dhabi ,27.0,#A6051A,2015
Force India,Abu Dhabi ,16.0,#F596C8,2015
Red Bull,Abu Dhabi ,9.0,#121F45,2015
Williams,Abu Dhabi ,4.0,#005AFF,2015
Lotus F1,Abu Dhabi ,2.0,#FFB800,2015
Toro Rosso,Abu Dhabi ,0.0,#469BFF,2015
McLaren,Abu Dhabi ,0.0,#FF8000,2015
Sauber,Abu Dhabi ,0.0,#9B0000,2015
Marussia,Abu Dhabi ,0.0,#6E0000,2015
Manor Marussia,Abu Dhabi ,0.0,white,2015
