Team,GP,points,c,year
Renault,Australian ,16.0,#FFF500,2005
Ferrari,Australian ,8.0,#A6051A,2005
Red Bull,Australian ,7.0,#121F45,2005
Williams,Australian ,4.0,#005AFF,2005
McLaren,Australian ,4.0,#FF8000,2005
Toyota,Australian ,0.0,#8e0018,2005
Sauber,Australian ,0.0,#9B0000,2005
BAR,Australian ,0.0,#d5d5d3,2005
Jordan,Australian ,0.0,#ead136,2005
Minardi,Australian ,0.0,white,2005
Renault,Malaysian ,10.0,#FFF500,2005
Toyota,Malaysian ,12.0,#8e0018,2005
Williams,Malaysian ,6.0,#005AFF,2005
McLaren,Malaysian ,5.0,#FF8000,2005
Red Bull,Malaysian ,4.0,#121F45,2005
Ferrari,Malaysian ,2.0,#A6051A,2005
Sauber,Malaysian ,0.0,#9B0000,2005
Jordan,Malaysian ,0.0,#ead136,2005
Minardi,Malaysian ,0.0,white,2005
BAR,Malaysian ,0.0,#d5d5d3,2005
Renault,Bahrain ,10.0,#FFF500,2005
Toyota,Bahrain ,13.0,#8e0018,2005
McLaren,Bahrain ,10.0,#FF8000,2005
Williams,Bahrain ,3.0,#005AFF,2005
Sauber,Bahrain ,2.0,#9B0000,2005
Red Bull,Bahrain ,1.0,#121F45,2005
Ferrari,Bahrain ,0.0,#A6051A,2005
Jordan,Bahrain ,0.0,#ead136,2005
Minardi,Bahrain ,0.0,white,2005
BAR,Bahrain ,0.0,#d5d5d3,2005
Renault,San Marino ,10.0,#FFF500,2005
Ferrari,San Marino ,8.0,#A6051A,2005
McLaren,San Marino ,6.0,#FF8000,2005
Sauber,San Marino ,5.0,#9B0000,2005
Toyota,San Marino ,4.0,#8e0018,2005
Williams,San Marino ,5.0,#005AFF,2005
Red Bull,San Marino ,1.0,#121F45,2005
Jordan,San Marino ,0.0,#ead136,2005
Minardi,San Marino ,0.0,white,2005
BAR,San Marino ,0.0,#d5d5d3,2005
McLaren,Spanish ,12.0,#FF8000,2005
Renault,Spanish ,12.0,#FFF500,2005
Toyota,Spanish ,11.0,#8e0018,2005
Williams,Spanish ,3.0,#005AFF,2005
Red Bull,Spanish ,1.0,#121F45,2005
Ferrari,Spanish ,0.0,#A6051A,2005
Sauber,Spanish ,0.0,#9B0000,2005
Jordan,Spanish ,0.0,#ead136,2005
Minardi,Spanish ,0.0,white,2005
McLaren,Monaco ,14.0,#FF8000,2005
Williams,Monaco ,14.0,#005AFF,2005
Renault,Monaco ,5.0,#FFF500,2005
Toyota,Monaco ,3.0,#8e0018,2005
Ferrari,Monaco ,3.0,#A6051A,2005
Sauber,Monaco ,0.0,#9B0000,2005
Jordan,Monaco ,0.0,#ead136,2005
Minardi,Monaco ,0.0,white,2005
Red Bull,Monaco ,0.0,#121F45,2005
Renault,European ,13.0,#FFF500,2005
Williams,European ,8.0,#005AFF,2005
Ferrari,European ,10.0,#A6051A,2005
Red Bull,European ,5.0,#121F45,2005
McLaren,European ,2.0,#FF8000,2005
Toyota,European ,1.0,#8e0018,2005
BAR,European ,0.0,#d5d5d3,2005
Sauber,European ,0.0,#9B0000,2005
Jordan,European ,0.0,#ead136,2005
Minardi,European ,0.0,white,2005
McLaren,Canadian ,10.0,#FF8000,2005
Ferrari,Canadian ,14.0,#A6051A,2005
Sauber,Canadian ,5.0,#9B0000,2005
Williams,Canadian ,4.0,#005AFF,2005
Toyota,Canadian ,3.0,#8e0018,2005
Red Bull,Canadian ,3.0,#121F45,2005
Jordan,Canadian ,0.0,#ead136,2005
Minardi,Canadian ,0.0,white,2005
BAR,Canadian ,0.0,#d5d5d3,2005
Renault,Canadian ,0.0,#FFF500,2005
Ferrari,United States ,18.0,#A6051A,2005
Jordan,United States ,11.0,#ead136,2005
Minardi,United States ,7.0,white,2005
Toyota,United States ,0.0,#8e0018,2005
McLaren,United States ,0.0,#FF8000,2005
BAR,United States ,0.0,#d5d5d3,2005
Renault,United States ,0.0,#FFF500,2005
