Team,GP,points,c,year
McLaren,Australian ,14.0,#FF8000,2008
BMW Sauber,Australian ,8.0,#ffffff,2008
Williams,Australian ,9.0,#005AFF,2008
Renault,Australian ,5.0,#FFF500,2008
Toro Rosso,Australian ,2.0,#469BFF,2008
Ferrari,Australian ,1.0,#A6051A,2008
Toyota,Australian ,0.0,#8e0018,2008
Super Aguri,Australian ,0.0,#b61211,2008
Red Bull,Australian ,0.0,#121F45,2008
Force India,Australian ,0.0,#F596C8,2008
Honda,Australian ,0.0,#cccfc8,2008
Ferrari,Malaysian ,10.0,#A6051A,2008
BMW Sauber,Malaysian ,11.0,#ffffff,2008
McLaren,Malaysian ,10.0,#FF8000,2008
Toyota,Malaysian ,5.0,#8e0018,2008
Red Bull,Malaysian ,2.0,#121F45,2008
Renault,Malaysian ,1.0,#FFF500,2008
Honda,Malaysian ,0.0,#cccfc8,2008
Force India,Malaysian ,0.0,#F596C8,2008
Williams,Malaysian ,0.0,#005AFF,2008
Super Aguri,Malaysian ,0.0,#b61211,2008
Toro Rosso,Malaysian ,0.0,#469BFF,2008
Ferrari,Bahrain ,18.0,#A6051A,2008
BMW Sauber,Bahrain ,11.0,#ffffff,2008
McLaren,Bahrain ,4.0,#FF8000,2008
Toyota,Bahrain ,3.0,#8e0018,2008
Red Bull,Bahrain ,2.0,#121F45,2008
Williams,Bahrain ,1.0,#005AFF,2008
Renault,Bahrain ,0.0,#FFF500,2008
Honda,Bahrain ,0.0,#cccfc8,2008
Force India,Bahrain ,0.0,#F596C8,2008
Toro Rosso,Bahrain ,0.0,#469BFF,2008
Super Aguri,Bahrain ,0.0,#b61211,2008
Ferrari,Spanish ,18.0,#A6051A,2008
McLaren,Spanish ,6.0,#FF8000,2008
BMW Sauber,Spanish ,5.0,#ffffff,2008
Red Bull,Spanish ,4.0,#121F45,2008
Honda,Spanish ,3.0,#cccfc8,2008
Williams,Spanish ,2.0,#005AFF,2008
Toyota,Spanish ,1.0,#8e0018,2008
Force India,Spanish ,0.0,#F596C8,2008
Super Aguri,Spanish ,0.0,#b61211,2008
Renault,Spanish ,0.0,#FFF500,2008
Toro Rosso,Spanish ,0.0,#469BFF,2008
Ferrari,Turkish ,16.0,#A6051A,2008
McLaren,Turkish ,8.0,#FF8000,2008
BMW Sauber,Turkish ,9.0,#ffffff,2008
Renault,Turkish ,3.0,#FFF500,2008
Red Bull,Turkish ,2.0,#121F45,2008
Williams,Turkish ,1.0,#005AFF,2008
Toyota,Turkish ,0.0,#8e0018,2008
Honda,Turkish ,0.0,#cccfc8,2008
Force India,Turkish ,0.0,#F596C8,2008
Toro Rosso,Turkish ,0.0,#469BFF,2008
McLaren,Monaco ,11.0,#FF8000,2008
BMW Sauber,Monaco ,8.0,#ffffff,2008
Ferrari,Monaco ,6.0,#A6051A,2008
Red Bull,Monaco ,5.0,#121F45,2008
Toro Rosso,Monaco ,4.0,#469BFF,2008
Honda,Monaco ,3.0,#cccfc8,2008
Williams,Monaco ,2.0,#005AFF,2008
Renault,Monaco ,0.0,#FFF500,2008
Toyota,Monaco ,0.0,#8e0018,2008
Force India,Monaco ,0.0,#F596C8,2008
BMW Sauber,Canadian ,18.0,#ffffff,2008
Red Bull,Canadian ,6.0,#121F45,2008
Toyota,Canadian ,8.0,#8e0018,2008
Ferrari,Canadian ,4.0,#A6051A,2008
Honda,Canadian ,2.0,#cccfc8,2008
Toro Rosso,Canadian ,1.0,#469BFF,2008
McLaren,Canadian ,0.0,#FF8000,2008
Williams,Canadian ,0.0,#005AFF,2008
Force India,Canadian ,0.0,#F596C8,2008
Renault,Canadian ,0.0,#FFF500,2008
Ferrari,French ,18.0,#A6051A,2008
Toyota,French ,6.0,#8e0018,2008
McLaren,French ,5.0,#FF8000,2008
BMW Sauber,French ,4.0,#ffffff,2008
Red Bull,French ,3.0,#121F45,2008
Renault,French ,3.0,#FFF500,2008
Toro Rosso,French ,0.0,#469BFF,2008
Honda,French ,0.0,#cccfc8,2008
Williams,French ,0.0,#005AFF,2008
Force India,French ,0.0,#F596C8,2008
McLaren,British ,14.0,#FF8000,2008
BMW Sauber,British ,8.0,#ffffff,2008
Honda,British ,6.0,#cccfc8,2008
Ferrari,British ,5.0,#A6051A,2008
Renault,British ,3.0,#FFF500,2008
Toyota,British ,2.0,#8e0018,2008
Williams,British ,1.0,#005AFF,2008
Red Bull,British ,0.0,#121F45,2008
Toro Rosso,British ,0.0,#469BFF,2008
Force India,British ,0.0,#F596C8,2008
McLaren,German ,14.0,#FF8000,2008
Renault,German ,8.0,#FFF500,2008
Ferrari,German ,9.0,#A6051A,2008
BMW Sauber,German ,7.0,#ffffff,2008
Toro Rosso,German ,1.0,#469BFF,2008
Toyota,German ,0.0,#8e0018,2008
Williams,German ,0.0,#005AFF,2008
Red Bull,German ,0.0,#121F45,2008
