Team,GP,points,c,year
Force India,German ,0.0,#F596C8,2008
Honda,German ,0.0,#cccfc8,2008
McLaren,Hungarian ,14.0,#FF8000,2008
Toyota,Hungarian ,10.0,#8e0018,2008
Ferrari,Hungarian ,6.0,#A6051A,2008
Renault,Hungarian ,8.0,#FFF500,2008
BMW Sauber,Hungarian ,1.0,#ffffff,2008
Red Bull,Hungarian ,0.0,#121F45,2008
Honda,Hungarian ,0.0,#cccfc8,2008
Williams,Hungarian ,0.0,#005AFF,2008
Force India,Hungarian ,0.0,#F596C8,2008
Toro Rosso,Hungarian ,0.0,#469BFF,2008
Ferrari,European ,10.0,#A6051A,2008
McLaren,European ,13.0,#FF8000,2008
BMW Sauber,European ,6.0,#ffffff,2008
Toyota,European ,6.0,#8e0018,2008
Toro Rosso,European ,3.0,#469BFF,2008
Williams,European ,1.0,#005AFF,2008
Renault,European ,0.0,#FFF500,2008
Red Bull,European ,0.0,#121F45,2008
Honda,European ,0.0,#cccfc8,2008
Force India,European ,0.0,#F596C8,2008
Ferrari,Belgian ,10.0,#A6051A,2008
BMW Sauber,Belgian ,11.0,#ffffff,2008
McLaren,Belgian ,6.0,#FF8000,2008
Renault,Belgian ,5.0,#FFF500,2008
Toro Rosso,Belgian ,6.0,#469BFF,2008
Red Bull,Belgian ,1.0,#121F45,2008
Toyota,Belgian ,0.0,#8e0018,2008
Williams,Belgian ,0.0,#005AFF,2008
Force India,Belgian ,0.0,#F596C8,2008
Honda,Belgian ,0.0,#cccfc8,2008
Toro Rosso,Italian ,10.0,#469BFF,2008
McLaren,Italian ,10.0,#FF8000,2008
BMW Sauber,Italian ,10.0,#ffffff,2008
Renault,Italian ,5.0,#FFF500,2008
Ferrari,Italian ,3.0,#A6051A,2008
Red Bull,Italian ,1.0,#121F45,2008
Toyota,Italian ,0.0,#8e0018,2008
Williams,Italian ,0.0,#005AFF,2008
Honda,Italian ,0.0,#cccfc8,2008
Force India,Italian ,0.0,#F596C8,2008
Renault,Singapore ,10.0,#FFF500,2008
Williams,Singapore ,9.0,#005AFF,2008
McLaren,Singapore ,6.0,#FF8000,2008
Toyota,Singapore ,5.0,#8e0018,2008
Toro Rosso,Singapore ,4.0,#469BFF,2008
BMW Sauber,Singapore ,3.0,#ffffff,2008
Red Bull,Singapore ,2.0,#121F45,2008
Honda,Singapore ,0.0,#cccfc8,2008
Ferrari,Singapore ,0.0,#A6051A,2008
Force India,Singapore ,0.0,#F596C8,2008
Renault,Japanese ,15.0,#FFF500,2008
BMW Sauber,Japanese ,8.0,#ffffff,2008
Ferrari,Japanese ,8.0,#A6051A,2008
Toyota,Japanese ,4.0,#8e0018,2008
Toro Rosso,Japanese ,3.0,#469BFF,2008
Red Bull,Japanese ,1.0,#121F45,2008
Williams,Japanese ,0.0,#005AFF,2008
McLaren,Japanese ,0.0,#FF8000,2008
Honda,Japanese ,0.0,#cccfc8,2008
Force India,Japanese ,0.0,#F596C8,2008
McLaren,Chinese ,10.0,#FF8000,2008
Ferrari,Chinese ,14.0,#A6051A,2008
Renault,Chinese ,6.0,#FFF500,2008
BMW Sauber,Chinese ,7.0,#ffffff,2008
Toyota,Chinese ,2.0,#8e0018,2008
Toro Rosso,Chinese ,0.0,#469BFF,2008
Red Bull,Chinese ,0.0,#121F45,2008
Honda,Chinese ,0.0,#cccfc8,2008
Williams,Chinese ,0.0,#005AFF,2008
Force India,Chinese ,0.0,#F596C8,2008
Ferrari,Brazilian ,16.0,#A6051A,2008
Renault,Brazilian ,8.0,#FFF500,2008
Toro Rosso,Brazilian ,5.0,#469BFF,2008
McLaren,Brazilian ,6.0,#FF8000,2008
Toyota,Brazilian ,4.0,#8e0018,2008
Red Bull,Brazilian ,0.0,#121F45,2008
BMW Sauber,Brazilian ,0.0,#ffffff,2008
Williams,Brazilian ,0.0,#005AFF,2008
Honda,Brazilian ,0.0,#cccfc8,2008
Force India,Brazilian ,0.0,#F596C8,2008
