Team,GP,points,c,year
Mercedes,Austrian ,37.0,#00A19C,2020
Ferrari,Austrian ,19.0,#A6051A,2020
McLaren,Austrian ,26.0,#FF8000,2020
Racing Point,Austrian ,8.0,#F596C8,2020
AlphaTauri,Austrian ,6.0,#00293F,2020
Renault,Austrian ,4.0,#FFF500,2020
Alfa Romeo,Austrian ,2.0,#981E32,2020
Williams,Austrian ,0.0,#005AFF,2020
Red Bull,Austrian ,0.0,#121F45,2020
Haas F1 Team,Austrian ,0.0,#F9F2F2,2020
Mercedes,Styrian ,43.0,#00A19C,2020
Red Bull,Styrian ,27.0,#121F45,2020
McLaren,Styrian ,13.0,#FF8000,2020
Racing Point,Styrian ,14.0,#F596C8,2020
Renault,Styrian ,4.0,#FFF500,2020
AlphaTauri,Styrian ,1.0,#00293F,2020
Alfa Romeo,Styrian ,0.0,#981E32,2020
Haas F1 Team,Styrian ,0.0,#F9F2F2,2020
Williams,Styrian ,0.0,#005AFF,2020
Ferrari,Styrian ,0.0,#A6051A,2020
Mercedes,Hungarian ,41.0,#00A19C,2020
Red Bull,Hungarian ,28.0,#121F45,2020
Racing Point,Hungarian ,18.0,#F596C8,2020
Ferrari,Hungarian ,8.0,#A6051A,2020
Renault,Hungarian ,4.0,#FFF500,2020
Haas F1 Team,Hungarian ,1.0,#F9F2F2,2020
McLaren,Hungarian ,2.0,#FF8000,2020
AlphaTauri,Hungarian ,0.0,#00293F,2020
Alfa Romeo,Hungarian ,0.0,#981E32,2020
Williams,Hungarian ,0.0,#005AFF,2020
Mercedes,British ,25.0,#00A19C,2020
Red Bull,British ,23.0,#121F45,2020
Ferrari,British ,16.0,#A6051A,2020
Renault,British ,20.0,#FFF500,2020
McLaren,British ,10.0,#FF8000,2020
AlphaTauri,British ,6.0,#00293F,2020
Racing Point,British ,2.0,#F596C8,2020
Williams,British ,0.0,#005AFF,2020
Alfa Romeo,British ,0.0,#981E32,2020
Haas F1 Team,British ,0.0,#F9F2F2,2020
Red Bull,70th Anniversary ,35.0,#121F45,2020
Mercedes,70th Anniversary ,34.0,#00A19C,2020
Ferrari,70th Anniversary ,12.0,#A6051A,2020
Racing Point,70th Anniversary ,14.0,#F596C8,2020
Renault,70th Anniversary ,4.0,#FFF500,2020
McLaren,70th Anniversary ,2.0,#FF8000,2020
AlphaTauri,70th Anniversary ,1.0,#00293F,2020
Alfa Romeo,70th Anniversary ,0.0,#981E32,2020
Haas F1 Team,70th Anniversary ,0.0,#F9F2F2,2020
Williams,70th Anniversary ,0.0,#005AFF,2020
Mercedes,Spanish ,41.0,#00A19C,2020
Red Bull,Spanish ,22.0,#121F45,2020
Racing Point,Spanish ,22.0,#F596C8,2020
McLaren,Spanish ,9.0,#FF8000,2020
Ferrari,Spanish ,6.0,#A6051A,2020
AlphaTauri,Spanish ,2.0,#00293F,2020
Renault,Spanish ,0.0,#FFF500,2020
Alfa Romeo,Spanish ,0.0,#981E32,2020
Haas F1 Team,Spanish ,0.0,#F9F2F2,2020
Williams,Spanish ,0.0,#005AFF,2020
Mercedes,Belgian ,43.0,#00A19C,2020
Red Bull,Belgian ,23.0,#121F45,2020
Renault,Belgian ,23.0,#FFF500,2020
McLaren,Belgian ,6.0,#FF8000,2020
AlphaTauri,Belgian ,4.0,#00293F,2020
Racing Point,Belgian ,3.0,#F596C8,2020
Alfa Romeo,Belgian ,0.0,#981E32,2020
Ferrari,Belgian ,0.0,#A6051A,2020
Haas F1 Team,Belgian ,0.0,#F9F2F2,2020
Williams,Belgian ,0.0,#005AFF,2020
AlphaTauri,Italian ,27.0,#00293F,2020
McLaren,Italian ,30.0,#FF8000,2020
Racing Point,Italian ,16.0,#F596C8,2020
Mercedes,Italian ,17.0,#00A19C,2020
Renault,Italian ,12.0,#FFF500,2020
Williams,Italian ,0.0,#005AFF,2020
Haas F1 Team,Italian ,0.0,#F9F2F2,2020
Alfa Romeo,Italian ,0.0,#981E32,2020
Red Bull,Italian ,0.0,#121F45,2020
Ferrari,Italian ,0.0,#A6051A,2020
Mercedes,Tuscan ,44.0,#00A19C,2020
Red Bull,Tuscan ,15.0,#121F45,2020
Renault,Tuscan ,12.0,#FFF500,2020
Racing Point,Tuscan ,10.0,#F596C8,2020
McLaren,Tuscan ,8.0,#FF8000,2020
AlphaTauri,Tuscan ,6.0,#00293F,2020
Ferrari,Tuscan ,5.0,#A6051A,2020
Alfa Romeo,Tuscan ,2.0,#981E32,2020
Williams,Tuscan ,0.0,#005AFF,2020
Haas F1 Team,Tuscan ,0.0,#F9F2F2,2020
Mercedes,Russian ,41.0,#00A19C,2020
Red Bull,Russian ,19.0,#121F45,2020
Racing Point,Russian ,12.0,#F596C8,2020
Renault,Russian ,16.0,#FFF500,2020
Ferrari,Russian ,8.0,#A6051A,2020
AlphaTauri,Russian ,6.0,#00293F,2020
Alfa Romeo,Russian ,0.0,#981E32,2020
Haas F1 Team,Russian ,0.0,#F9F2F2,2020
McLaren,Russian ,0.0,#FF8000,2020
Williams,Russian ,0.0,#005AFF,2020
Mercedes,Eifel ,25.0,#00A19C,2020
Red Bull,Eifel ,19.0,#121F45,2020
Renault,Eifel ,15.0,#FFF500,2020
Racing Point,Eifel ,16.0,#F596C8,2020
McLaren,Eifel ,10.0,#FF8000,2020
AlphaTauri,Eifel ,8.0,#00293F,2020
Ferrari,Eifel ,6.0,#A6051A,2020
Haas F1 Team,Eifel ,2.0,#F9F2F2,2020
Alfa Romeo,Eifel ,1.0,#981E32,2020
Williams,Eifel ,0.0,#005AFF,2020
Mercedes,Portuguese ,44.0,#00A19C,2020
Red Bull,Portuguese ,15.0,#121F45,2020
Ferrari,Portuguese ,13.0,#A6051A,2020
AlphaTauri,Portuguese ,10.0,#00293F,2020
McLaren,Portuguese ,8.0,#FF8000,2020
Racing Point,Portuguese ,6.0,#F596C8,2020
Renault,Portuguese ,6.0,#FFF500,2020
Alfa Romeo,Portuguese ,0.0,#981E32,2020
Williams,Portuguese ,0.0,#005AFF,2020
Haas F1 Team,Portuguese ,0.0,#F9F2F2,2020
Mercedes,Emilia Romagna ,44.0,#00A19C,2020
Renault,Emilia Romagna ,15.0,#FFF500,2020
AlphaTauri,Emilia Romagna ,12.0,#00293F,2020
Ferrari,Emilia Romagna ,10.0,#A6051A,2020
Racing Point,Emilia Romagna ,8.0,#F596C8,2020
McLaren,Emilia Romagna ,10.0,#FF8000,2020
Alfa Romeo,Emilia Romagna ,3.0,#981E32,2020
Williams,Emilia Romagna ,0.0,#005AFF,2020
Haas F1 Team,Emilia Romagna ,0.0,#F9F2F2,2020
Red Bull,Emilia Romagna ,0.0,#121F45,2020
Mercedes,Turkish ,25.0,#00A19C,2020
Racing Point,Turkish ,20.0,#F596C8,2020
Ferrari,Turkish ,27.0,#A6051A,2020
McLaren,Turkish ,15.0,#FF8000,2020
Red Bull,Turkish ,14.0,#121F45,2020
Renault,Turkish ,1.0,#FFF500,2020
AlphaTauri,Turkish ,0.0,#00293F,2020
Alfa Romeo,Turkish ,0.0,#981E32,2020
Williams,Turkish ,0.0,#005AFF,2020
Haas F1 Team,Turkish ,0.0,#F9F2F2,2020
Mercedes,Bahrain ,29.0,#00A19C,2020
Red Bull,Bahrain ,34.0,#121F45,2020
McLaren,Bahrain ,22.0,#FF8000,2020
AlphaTauri,Bahrain ,8.0,#00293F,2020
Renault,Bahrain ,8.0,#FFF500,2020
Ferrari,Bahrain ,1.0,#A6051A,2020
Williams,Bahrain ,0.0,#005AFF,2020
Alfa Romeo,Bahrain ,0.0,#981E32,2020
Haas F1 Team,Bahrain ,0.0,#F9F2F2,2020
Racing Point,Bahrain ,0.0,#F596C8,2020
Racing Point,Sakhir ,40.0,#F596C8,2020
Renault,Sakhir ,28.0,#FFF500,2020
McLaren,Sakhir ,13.0,#FF8000,2020
Red Bull,Sakhir ,8.0,#121F45,2020
AlphaTauri,Sakhir ,6.0,#00293F,2020
Mercedes,Sakhir ,7.0,#00A19C,2020
Ferrari,Sakhir ,0.0,#A6051A,2020
Alfa Romeo,Sakhir ,0.0,#981E32,2020
Haas F1 Team,Sakhir ,0.0,#F9F2F2,2020
Williams,Sakhir ,0.0,#005AFF,2020
Red Bull,Abu Dhabi ,37.0,#121F45,2020
Mercedes,Abu Dhabi ,33.0,#00A19C,2020
McLaren,Abu Dhabi ,18.0,#FF8000,2020
Renault,Abu Dhabi ,9.0,#FFF500,2020
AlphaTauri,Abu Dhabi ,4.0,#00293F,2020
Racing Point,Abu Dhabi ,1.0,#F596C8,2020
Alfa Romeo,Abu Dhabi ,0.0,#981E32,2020
Ferrari,Abu Dhabi ,0.0,#A6051A,2020
Williams,Abu Dhabi ,0.0,#005AFF,2020
Haas F1 Team,Abu Dhabi ,0.0,#F9F2F2,2020
